repository_owner,repository_name
Porges,stringprep-hs
PositronicBrain,Wumpus
Purview,purview
QiBaobin,config
Rakin05,haskell-learning-notices
RaphaelJ,Face-recognition
RaphaelJ,Haskell
RaphaelJ,repa-devil
RedMoonStudios,cryptd-lib
RedMoonStudios,cryptd-slave
RichardBarrell,snippets
RoaldFre,haren
RobinKrom,fasths
RobinMorisset,Btrsync
RobinMorisset,Tryskell
RobotGymnast,Chess
RobotGymnast,Muse
RobotGymnast,VocabTester
Rychlewicz,combinatorial-identities-in-haskell
SKAhack,yesod
SKoschnicke,haskell-shop-kata
Safyia,Haskell-validation
Safyia,Validate-Slovak-Birth-numbers--Haskell-
SeanTAllen,dotxmonad
Shib4,config
Shimuuar,HaTeX
Shimuuar,histogram-fill
Shimuuar,histogram-fill-cereal
Shimuuar,hstats
Shimuuar,numeric-tools
Shimuuar,protobuf
Shimuuar,statistics
Shimuuar,type-level-numbers
Shoklan,Haskell
SimonKaltenbacher,Parallel-Forward-Chaining
SirFrancisDrake,Babylon-5--We-ve-Lost-Her
SkemaPlatform,skema
SkemaPlatform,skema-common
Soares,Dater.hs
SonOfLilit,reactive-banana
SynthC,Signs
Tarrasch,DtekPortalen
Tarrasch,authenticate-kerberos
Tarrasch,hamlet
Tarrasch,yesod-auth-kerberos
Tarrasch,yesodweb.com-content
TaurusOlson,xmonad
TeaMoe,xmonad-config
Temp1ar,LovelyHaskell
Tener,ProCoGraM
Tener,disruptor-hs
Tener,haskell-package-vt
Tener,hermitage
Tener,pico
Tener,spike
ThoughtLeadr,Riak-Haskell-HTTP-Client
TikhonJelvis,Simple-Prolog
TikhonJelvis,TPL
TinnedTuna,Haskell-Binary-Search
TinnedTuna,Haskell-Plugin-Tutorial
Tokiwo-ousaka,fpstudy-samples
TomHammersley,HaskellRenderer
TomMD,DRBG
TomMD,JuicyPixels-repa
TomMD,RSA
TomMD,crypto-api
TomMD,gloss-osm
TomMD,gps
TomMD,monadcryptorandom
TomMD,network-data
TomMD,osm-download
TomMD,vector-strategies
TonyGen,bson-haskell
TonyGen,bson-json-haskell
TonyGen,mongoDB-haskell
TooManyPumpFakes,Core-Compiler
Toxaris,pts
Tumas,configs
Twinside,Juicy.Pixels
Twinside,hit
UU-ComputerScience,uhc
UU-ComputerScience,uhc-js
UniversityRadioYork,Stonehouse
UweSchmidt,hxt
VolkerZeihs,latexnotes2pdfpresxml
Wilfred,Blackjack
WindRaven,RobotPP
X-dark,ArchLinux
XaaK,HaskellAdventure
Xarch,yesod
Xion,wikilate
Xorlev,Prometheus
Xorlev,haskell-bot
Ymbirtt,LEng
YoshikuniJujo,xturtle_haskell
YoshikuniJujo,yjsvg_haskell
YoshikuniJujo,yjtools_haskell
YwenP,bytestring-generic
ZeusWPI,12Urenloop
ZeusWPI,contests
aamikhaylova,Haskell
aanari,aanari.github.com-src
aanari,alianari.com
aaronp24,nvidia-versions
aavogt,xmobar
abarbu,Clutterhs
abaw,confs
abdulsattar,99probs
abdulsattar,hkonhk
abdulsattar,scotty
abedra,Valence
abhinav,Elm
accursoft,binding
acfoltzer,cereal-vector
acheshkov,yesod
achimkrause,ghc
achimkrause,packages-base
achimkrause,testsuite
achudnov,http-proxy
acowley,HOpenCV
aculich,lambdascript
aculich,yesoddocs
aculich,yesodwiki
acw,bytestring-progress
acw,llvm-threading
adevore,dotfiles
adidas006,CIS-194-Automata
adimit,haskell-sphinx-client
adimit,hsini
adimit,pfeg
adk9,haskell-mpi
adrienhaxaire,funfem
adyxax,hsbot
adyxax,org-monad
aesacus,coursework
afpug,euler
agocorona,MFlow
agocorona,RefSerialize
agocorona,TCache
ahk,Munemone
ahodgen,authenticate-kerberos
aib,Project-Euler
airlabam,dfrcc
ajdunlap,hledger-invoice
ajdunlap,yesod-markdown
ajdunlap,yesod-paginate
ajnsit,FactorCSS
ajnsit,wai-routes
akamaus,Cruciverbus
akaspin,couchdb-conduit
akaspin,global-config
akaspin,hedis-pile
akaspin,wai-middleware-cache
akaspin,wai-middleware-cache-redis
akaspin,wai-middleware-catch
akaspin,wai-middleware-route
akshaykumar90,yst
akudryashov,programming-languages
akuklev,euler
alafroiskiotos,Xmonad.conf.ltp
alanbriolat,foostack
alanpog,yesod
alanz,authenticate
alanz,htelehash
alanz,language-javascript
albertoruiz,easyVision
albertoruiz,hTensor
aleator,CV
aleator,Meanshift
aleator,Simple-SVM
aleator,haskell-amuse-bouche
aleator,kmeans-vector
alejandrogomez,universidad
alejandrogomez,xmobar
alevy,blaze-html
alevy,dclabel
alevy,friendstar
alevy,gitstar
alevy,gitstar-ssh
alevy,hails
alevy,iterIO
alevy,iterio-server
alevy,lio
alexanderdean,Angel
alexanderdean,redis-haskell
alistra,data-structure-inferrer
alistra,dotfiles
alphaHeavy,cabal
alphaHeavy,crap
alphaHeavy,ghc
alphaHeavy,http-enumerator
alphaHeavy,llvm
alphaHeavy,lzma-conduit
alphaHeavy,lzma-enumerator
alphaHeavy,shake-install
alphaHeavy,time-cube
alphaHeavy,websockets
alpmestan,HNN
alpmestan,kmeans-vector
alrunner4,MayanSweeper
alsonkemp,turbinado
alsonkemp,turbinado-website
am-,hs-petri-net-symmetry
amadeusfolego,dotfiles
amccausl,RDF4H
amcphail,hmatrix-gsl-stats
amcphail,hmatrix-repa
ameiva,.dotfiles
amnipar,CV
amontague,digestive-functors
amtal,0x10c
amtal,soyuz
anasazi,Multi-Agent-AI-Music-Composition
andekar,hqmp3
anders-,DisML
andreasg,hr
andrew-wja,music-sorter-outer
andrewpoh,Rhesus
andrewpoh,Rhodium
andrewpoh83,Rhodium
andrey-komarov,agda
andrey013,copperbox
andrey013,mynd
andriyp,HLisp
andriyp,Sandbox
andygill,blank-canvas
andyhorng,haskell-99-questions
andykitchen,linear-logic
aninhumer,haskell-dht
anis-moubarik,jfo2012
anomaro,othello
anthony-coble,word_ladder
anttisalonen,cgen
anttisalonen,hogre
anttisalonen,hogre-examples
arapede,LittleForth
arapede,LittleLisp
archhaskell,archlinux
archhaskell,archlinux-web
archhaskell,cabal2arch
aredlich,epoll
arekfu,irt
arguser,dotfiles
aristidb,aws
aristidb,dcpu16-hs
aristidb,http-types
aristidb,xml-enumerator
arj,accelerate
arj,accelerate-matrices
arj,conj-gradient-accelerate
arjanblokzijl,scala-conduits
arjanblokzijl,scala-pipes
arjuncomar,dotxmonad
arjunguha,haskell-couchdb
arrowdodger,sbv
arsenm,Clutterhs
arwynroberts,misere-oxo
asayers,dotfiles
ashwins1,hails
aslatter,conduit
aslatter,happstack-wai
aslatter,qc-instances
