f0_,first
1,
149,0
212,1
142,2
155,3
123,4
80,5
39,6
69,7
56,8
53,9
2851,A
1615,B
2028,C
2066,D
1046,E
1135,F
1253,G
995,H
767,I
1866,J
1257,K
1347,L
2657,M
1189,N
690,O
1537,P
155,Q
1670,R
3314,S
2181,T
299,U
645,V
682,W
252,X
373,Y
484,Z
14335,a
9386,b
10518,c
11952,d
5660,e
5556,f
6481,g
5114,h
4404,i
13164,j
7544,k
6651,l
16189,m
6389,n
3038,o
8565,p
712,q
8846,r
17405,s
9538,t
1338,u
3411,v
3946,w
1462,x
2358,y
2440,z
