repository_owner,repository_name
mitio,sicp-exercises
mjdwitt,contestron
mlozanov,extempore
mlozanov,scheme
mnogu,uim
motemen,rfc-pseudo-irc-server
mripley,DataMining
msullivan,LazyK
mytoh,dotfiles
nabilhassein,sicp_scheme
naiquevin,sicp-study
namin,inc
nanahositento,nanahositento.github.com
natsutan,scm2exe
nb,sicp
nickg,swank-chicken
nickklosterman,Gimp
nobutaka,nanopass
noqsi,gnet-spice-noqsi
nroza,mysicp
offby1,anagrams
offby1,doodles
offby1,project-euler
ohthatjames,sicp-study
okuoku,mosh
omegatakuma,Omeqa
omegatakuma,Scheme-Task
omegatakuma,SchemeToDo
omegatakuma,TwitterMonitoring
omegatakuma,bfuck
omegatakuma,twlibr
omegatakuma,wiki-lib
orlandodarhill,waxeye
osoleve,Scheme-Infix-Calculator
otso,tasks
p7media,silverplate
pborky,documents
pearm,Sokoban
pendulm,sicp-solution
pereckerdal,blackhole
pereckerdal,blackhole-libs
pereckerdal,sack
pereckerdal,spork
pereckerdal,termite
pjhades,sicp-solutions
pkrumins,the-little-schemer
pkrumins,the-reasoned-schemer
potix2,SICP
propella,abcsx
propella,tamacola
psholtz,MIT-SICP
psstoev,sicp-exercises
punchdrunker,sicp-reading
quek,dot.file
rentalita,ubuntu-setup
repos-scheme,jsScheme
retroj,magickwand-egg
rindai87,SICP
rmloveland,scheme48-bintrees
rmloveland,scheme48-graph
rmloveland,scheme48-powerset
robbell,SICP-Exercises
robbell,sicp-exercises
robertharamoto,Project-Euler-Problems-0011---0020
robertharamoto,Project-Euler-Problems-0021---0030
robertharamoto,Project-Euler-Problems-0031---0040
robertharamoto,Project-Euler-Problems-0051---0060
robertharamoto,Project-Euler-Problems-0061---0070
robertharamoto,Project-Euler-Problems-0081---0090
robertharamoto,Project-Euler-Problems-0091---0100
robertharamoto,Project-Euler-Problems-0101---0110
robwagner33,Interpreter
rotty,kali-scheme
rotty,spells
rrnewton,WaveScript
rstehwien,sicp
rubyredrick,sicp-study
samth,lang-slide
sanjeevs,Simply-Scheme-Exercises
sarabander,p2pu-sicp
sayem,sicp
schani,jscreme
schanzer,mzscheme-vm
scheme,scsh
schemeway,lalr-scm
sglee77,sicp-study
sgrove,tehila
shadab16,SICP
sharkbrainguy,clean
shell909090,sicp
shirok,Gauche-gtk2
shirok,Gauche-net-twitter
shirok,Gauche-tk
silverstripe-themes,silverstripe-blackcandy
silverstripe-themes,silverstripe-simple
skanev,playground
skilldrick,sicp
skk,SICP
slavv,sicp-exercises
soegaard,Scheme-Infix-Calculator
spacemanaki,sicp
spurious,ironscheme-mirror
ssbr,dcpu16-scheme
stuhlmueller,scheme-tools
stuhlmueller,sine
stuntgoat,marvel
sunnysideup,silverstripe-google-analytics
superchris,sicp
t-ob,AlgoClass
t-ob,ProjectEuler
