repository_owner,repository_name
ScalaPino,Scala-Tic-Tac-Toe
ScalaPino,pacman
ScalaPino,progInScalaExamples
Sciss,AudioWidgets
Sciss,Cupola
Sciss,FScapeJobs
Sciss,FingerTree
Sciss,InterPlay
Sciss,Kontur
Sciss,LeereNull
Sciss,LucreData
Sciss,LucreSTM
Sciss,NuagesApp
Sciss,NuagesPompe
Sciss,ScalaAudioFile
Sciss,ScalaAudioWidgets
Sciss,ScalaCollider
Sciss,ScalaColliderSwing
Sciss,ScalaColliderUGens
Sciss,ScalaOSC
Sciss,SonogramOverview
Sciss,SoundProcesses
Sciss,SoundProcesses2
Sciss,SoundProcesses3
Sciss,Strugatzki
Sciss,Submin
Sciss,TemporalObjects
Sciss,Wolkenpumpe
Sciss,sbt-appbundle
Sciss,scopt
SethTisue,Project-Euler
Seyun,Play20
Shadowfiend,Lift-Push-Knock-Out
Shadowfiend,lift-ajax-file-upload-example
Shadowfiend,sbt-resource-management
Shimi,cascal
Shinsuke-Abe,Simple-Two-Do
Shinsuke-Abe,Simple-Two-Do-unfinished-
Shnick,silk
SimonChong,Play20
SindreSvendby,play-tutorial
Sitwon,taskmaster
SmartSpike,scalastyle-maven-plugin
Softhouse,todo
SpaceAppsCH,PDS-HiRISE-Mobile
SpringSource,spring-integration-scala
Srirangan,scala-gridgain-archetype
Srirangan,scalatra-maven-prototype
Srirangan,simplewebcrawler
Srirangan,squeryl-example
Stackato-Apps,hello-scala
Stivo,Distributed
Stivo,Scoobi-Benchmarking
Stivo,virtualization-lms-core
Storkle,clj-forex-indicators
StrokerAce,PEGA
Synesso,memx
T8Webware,akka-event-handler-flume
T8Webware,salat-avro
TAMULib,ShibDiscoveryService
TheBizzle,LogManager
TheBizzle,PathFinding
TheBizzle,SwingSandbox
TheBizzle,webstart-sandbox
TheMineCart,CrafterTracker
ThiporKong,scala
ThiporKong,scalatrain
ThomasWedler,SQ-Project
TiarkRompf,replhtml
TiarkRompf,scala-virtualized
TiarkRompf,virtualization-lms-core
